1,,2024-01-02T14:16:06.9086921Z,18,Guy Gilbert,guy1@oaon.com,320-555-0195,2020-01-28,,Marketing,Contract,950884,,39184501
2,,2024-01-02T14:16:06.9086921Z,7,Kevin Brown,kevin0@oaon.com,150-555-0189,2020-08-26,,Purchase,Contract,298253,,39184502
3,,2024-01-02T14:16:06.9086921Z,14,Roberto Tamburello,roberto0@oaon.com,212-555-0187,2021-06-11,,QualityControl,FullTime,977624,,39184503
4,,2024-01-02T14:16:06.9086921Z,3,Rob Walters,rob0@oaon.com,612-555-0100,2021-07-05,2022-08-05,HR,FullTime,116722,,39184504
5,,2024-01-02T14:16:06.9086921Z,3,Rob Walters,rob0@oaon.com,612-555-0100,2023-12-28,,Sales,Contract,920802,,39184505
6,,2024-01-02T14:16:06.9086921Z,267,Thierry D'Hers,thierry0@oaon.com,168-555-0183,2021-07-11,,Marketing,Contract,846918,,39184506
7,,2024-01-02T14:16:06.9086921Z,112,David Bradley,david0@oaon.com,913-555-0172,2021-07-20,2024-04-20,Logistics,FullTime,41642,,39184507
8,,2024-01-02T14:16:06.9086921Z,112,David Bradley,david0@oaon.com,913-555-0172,2023-02-12,,HR,FullTime,356119,,39184508
9,,2024-01-02T14:16:06.9086921Z,23,JoLynn Dobney,jolynn0@oaon.com,903-555-0145,2021-07-26,,Admin,FullTime,498392,,39184509
10,,2024-01-02T14:16:06.9086921Z,189,Ruth Ellerbrock,ruth0@oaon.com,145-555-0130,2021-08-06,,Marketing,FullTime,540306,,39184510
11,,2024-01-02T14:16:06.9086921Z,3,Gail Erickson,gail0@oaon.com,849-555-0139,2021-08-06,,HR,Contract,425151,,39184511
12,,2024-01-02T14:16:06.9086921Z,189,Barry Johnson,barry0@oaon.com,206-555-0180,2021-08-07,,Purchase,Contract,992399,,39184512
13,,2024-01-02T14:16:06.9086921Z,3,Jossef Goldberg,jossef0@oaon.com,122-555-0189,2021-08-24,,Purchase,FullTime,781055,,39184513
14,,2024-01-02T14:16:06.9086921Z,112,Terri Duffy,terri0@oaon.com,819-555-0175,2021-08-31,,Sales,FullTime,48455,,39184514
15,,2024-01-02T14:16:06.9086921Z,189,Sidney Higa,sidney0@oaon.com,424-555-0189,2021-09-02,,Marketing,Contract,105486,,39184515
16,,2024-01-02T14:16:06.9086921Z,23,Taylor Maxwell,taylor0@oaon.com,508-555-0165,2021-09-08,,Sales,Contract,503859,,39184516
17,,2024-01-02T14:16:06.9086921Z,189,Jeffrey Ford,jeffrey0@oaon.com,984-555-0185,2021-09-20,,Admin,Contract,171564,,39184517
18,,2024-01-02T14:16:06.9086921Z,23,Jo Brown,jo0@oaon.com,632-555-0129,2021-09-27,,Sales,Contract,650735,,39184518
19,,2024-01-02T14:16:06.9086921Z,189,Doris Hartwig,doris0@oaon.com,328-555-0150,2021-10-09,,Admin,Contract,423496,,39184519
20,,2024-01-02T14:16:06.9086921Z,23,John Campbell,john0@oaon.com,435-555-0113,2021-10-16,,Purchase,Contract,340567,,39184520
21,,2024-01-02T14:16:06.9086921Z,189,Diane Glimp,diane0@oaon.com,202-555-0151,2021-10-27,,Marketing,FullTime,648961,,39184521
22,,2024-01-02T14:16:06.9086921Z,177,Steven Selikoff,steven0@oaon.com,925-555-0114,2022-07-01,,Purchase,FullTime,954875,,39184522
23,,2024-01-02T14:16:06.9086921Z,112,Peter Krebs,peter0@oaon.com,913-555-0196,2022-07-01,,Sales,FullTime,536362,,39184523
